Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010
330010015000019;1;11;6;8;23;0;31;11;29;57;0
330010015000020;1;14;1;0;2;0;12;1;1;0;0
330010015000021;1;1;0;0;0;0;0;0;0;0;0
330010015000022;1;5;0;0;3;0;8;0;0;2;0
330010015000023;1;1;0;0;1;0;3;0;0;1;0
330010015000024;1;4;0;7;1;0;3;0;22;1;0
330010015000025;1;25;3;0;12;0;22;3;0;18;0
330010015000026;1;36;2;0;7;0;39;0;0;7;0
330010015000027;1;7;0;0;3;0;5;0;0;6;0
330010015000028;1;25;3;1;9;0;35;0;0;14;0
330010015000029;1;14;0;0;4;0;13;1;0;6;0
330010015000030;1;19;3;0;11;0;10;5;0;7;0
330010015000031;1;32;1;0;5;0;29;0;0;9;0
330010015000032;1;9;4;0;20;0;15;0;0;19;0
330010015000033;1;27;7;2;15;0;26;2;1;18;0
330010015000034;1;35;1;1;30;0;20;1;1;15;0
330010015000035;1;25;1;0;7;0;16;6;0;18;0
330010015000036;1;42;2;1;15;0;34;2;1;21;0
330010015000037;1;13;3;0;10;0;21;2;1;2;0
330010015000038;1;30;0;3;12;0;16;0;2;9;0
330010015000039;1;29;5;2;17;0;28;2;1;18;0
330010015000040;1;24;2;0;22;0;24;4;0;10;0
330010015000041;1;20;0;0;9;0;21;0;0;5;0
330010015000042;1;23;1;1;7;0;28;2;0;11;0
330010015000043;1;34;4;0;24;0;29;4;0;25;0
330010015000044;1;19;4;0;20;0;24;3;0;13;0
330010015000045;1;21;6;0;8;0;10;0;0;12;0
330010015000046;1;23;0;0;8;0;23;1;3;9;0
330010015000047;1;17;1;0;9;0;18;0;0;14;0
330010015000048;1;21;0;0;10;0;15;0;0;13;0
330010015000049;1;27;2;0;17;0;36;0;0;14;0
330010015000050;1;2;0;0;7;0;4;0;0;3;0
330010015000051;1;8;0;0;2;0;4;0;0;1;0
330010015000052;1;0;X;X;X;X;X;X;X;X;X
330010015000053;2;0;0;0;0;0;1;0;0;0;0
330010015000055;2;4;0;0;2;0;8;0;0;1;0
330010015000057;1;23;0;0;12;0;24;0;0;5;0
330010015000058;1;9;0;0;2;0;9;0;1;7;0
330010015000059;1;16;0;1;14;0;22;1;0;15;0
330010015000060;1;18;6;0;17;0;22;3;0;20;0
330010015000061;1;18;5;0;16;0;12;0;2;15;0
330010015000062;1;0;0;0;2;0;1;0;0;0;0
330010015000063;1;3;0;0;4;0;8;1;0;1;0
330010015000064;1;21;2;0;9;0;13;2;0;9;0
330010015000065;1;19;1;0;13;0;24;0;0;4;0
330010015000066;1;11;1;0;7;0;22;0;0;12;0
330010015000067;1;24;6;0;18;0;21;4;0;17;0
330010015000068;1;28;2;0;22;0;26;4;0;28;0
330010015000069;1;12;2;2;6;0;7;0;0;6;0
330010015000070;1;16;1;1;21;0;13;0;0;13;0
330010015000071;1;19;3;0;18;0;27;3;0;9;0
330010015000072;1;29;3;0;19;0;27;10;0;16;0
330010015000073;1;25;1;0;18;0;32;1;0;9;0
330010015000074;1;21;1;0;14;0;19;3;0;13;0
330010015000075;1;20;0;0;12;0;22;0;0;12;0
330010015000076;1;10;0;0;13;0;14;0;0;12;0
330010015000077;1;20;0;0;6;0;19;1;0;14;0
330010015000078;1;12;2;0;9;0;11;2;0;12;0
330010015000079;1;2;0;0;3;0;5;0;0;1;0
330010015000080;1;0;0;0;0;0;0;0;0;0;0
330010015000081;1;10;0;0;6;0;11;0;0;8;0
330010015000082;1;9;0;0;2;0;7;1;0;0;0
330010015000083;1;3;1;1;0;0;8;0;0;4;0
330010015000084;1;11;0;0;6;0;3;0;0;6;0
330010015000085;2;1;0;0;0;0;0;0;0;1;0
330010015000086;2;0;X;X;X;X;X;X;X;X;X
330010015000087;2;0;0;0;0;0;1;0;0;0;0
330010015000090;8;0;0;0;0;34;0;0;0;0;34
330010015000091;8;0;0;0;4;0;0;0;0;1;0
330010015000092;8;4;1;0;0;0;2;0;0;0;0
330010015000093;8;9;0;1;15;0;9;2;0;17;0
330010015000094;8;4;1;0;1;0;1;2;0;2;0
330010015000095;8;5;0;0;2;0;7;0;0;6;0
330010015000096;8;13;2;0;12;0;14;2;0;16;0
330010015000097;8;10;0;0;6;0;17;0;0;7;0
330010015000098;8;25;10;0;34;0;34;3;0;29;0
330010015000099;1;18;0;0;6;0;26;1;0;5;0
330010015000100;1;24;4;0;11;0;21;3;0;13;0
330010015000101;1;28;4;0;23;0;42;2;0;25;0
330010015000102;1;22;1;1;9;0;15;5;2;8;0
330010015000103;1;19;1;0;20;0;19;2;0;20;0
330010015000104;1;12;1;0;7;0;14;0;0;9;0
330010015000105;1;16;0;0;13;0;17;0;0;7;0
330010015000106;1;16;0;0;20;0;19;1;0;19;0
330010015000107;1;27;1;0;15;0;17;1;4;14;0
330010015000108;1;21;2;0;10;0;22;4;0;9;1
330010015000109;1;25;1;0;31;0;24;3;0;24;0
330010025000001;1;8;1;0;6;0;8;2;0;7;0
330010025000002;1;0;X;X;X;X;X;X;X;X;X
330010025000003;1;2;0;0;1;0;0;0;0;0;0
330010025000004;1;22;2;0;6;0;25;0;0;10;0
330010025000005;1;12;0;0;8;0;18;1;0;5;0
330010025000006;1;17;0;0;7;0;8;1;0;6;0
330010025000007;1;19;1;0;14;0;9;1;0;12;0
330010025000008;1;20;3;2;13;0;21;3;0;5;0
330010025000009;1;15;1;0;16;0;17;0;0;6;0
330010025000010;1;16;1;0;16;0;19;0;0;13;1
330010025000011;1;20;2;0;19;0;28;2;0;20;0
330010025000012;1;11;1;0;5;0;8;0;0;5;0
330010025000013;1;5;1;0;7;0;4;0;0;4;0
330010025000014;1;10;1;0;10;0;13;0;0;7;0
330010025000015;1;13;1;0;7;0;11;2;0;6;0
330010025000016;1;15;1;0;7;0;11;0;0;7;0
330010025000017;1;13;0;0;13;0;13;0;0;19;0
330010025000018;1;22;3;0;11;0;24;0;1;11;0
330010025000019;1;31;5;0;21;0;25;0;0;13;0
330010025000020;1;22;6;0;18;1;25;8;0;28;0
330010025000021;2;0;X;X;X;X;X;X;X;X;X
330010025000022;1;25;2;0;20;0;24;4;0;16;0
330010025000023;1;8;0;0;6;0;5;1;0;7;0
330010025000024;1;7;1;0;14;0;11;1;0;7;0
330010025000025;1;26;3;1;24;0;23;5;0;19;0
330010025000026;1;9;3;1;6;0;5;0;0;7;0
330010025000027;1;17;0;0;7;0;21;1;2;10;0
330010025000028;1;19;3;0;21;0;17;0;0;31;0
330010025000029;1;27;6;0;21;0;18;4;0;16;0
330010025000030;8;1;0;0;1;0;0;0;0;2;0
330010025000031;8;3;1;0;1;0;0;0;0;3;0
330010025000032;1;20;2;0;16;0;16;2;0;9;0
330015905000001;1;18;0;0;5;0;11;0;0;4;0
330015905000002;1;20;1;0;9;0;17;4;0;2;0
330015905000003;1;13;0;0;1;0;10;1;0;2;0
330015905000004;1;12;2;0;4;0;6;0;0;3;0
330015905000005;1;13;1;0;4;0;14;0;0;9;0
330015905000006;1;12;0;0;5;0;6;0;0;2;0
330015905000007;1;25;1;0;2;0;30;0;0;5;0
330015905000008;1;17;0;0;2;0;15;2;0;6;0
330015905000009;1;14;0;0;4;0;19;0;1;5;0
330015905000010;1;14;1;0;3;0;21;1;0;3;0
330015905000011;1;8;0;0;7;0;11;1;0;10;0
330015905000012;3;15;0;0;1;0;10;0;0;1;0
330015905000013;8;9;0;0;4;0;8;0;0;1;0
330015905000014;8;3;0;0;2;0;9;1;0;5;0
330015905000015;8;5;1;0;3;0;11;0;0;1;0
330015905000016;1;12;1;0;7;0;20;1;0;5;0
330020905000001;1;8;0;0;5;0;6;0;0;4;0
330020905000002;1;19;2;0;3;0;14;2;0;1;0
330020905000003;1;8;0;0;3;0;6;0;0;2;0
330020905000004;1;5;0;0;1;0;3;0;0;0;0
330020905000005;1;18;1;0;8;0;12;0;0;8;0
330020905000006;1;11;1;0;4;0;7;1;0;2;0
330020905000007;1;5;0;0;2;0;5;0;0;0;0
330020905000008;1;4;1;0;1;0;4;0;0;2;0
330020905000009;1;4;1;0;3;0;7;1;0;1;0
330020905000010;1;3;0;0;3;0;3;1;0;6;0
330020905000011;1;7;0;0;1;0;10;2;0;8;0
330020905000012;1;3;0;0;2;0;4;1;0;3;0
330020905000013;1;11;1;0;3;0;2;1;0;1;0
330020905000014;1;6;0;0;1;0;1;0;1;1;0
330020905000015;1;3;0;0;3;0;7;0;0;3;0
330020905000016;1;6;1;0;2;0;6;2;0;2;0
330020905000017;1;9;0;0;10;0;15;2;0;8;0
330020905000018;1;5;0;0;0;0;1;2;0;1;0
330020905000019;1;5;0;0;4;0;4;4;0;4;0
330020905000020;1;6;0;0;5;0;6;1;0;2;0
330020905000021;1;6;2;0;6;0;7;0;0;9;0
330020905000022;1;8;0;0;3;0;5;2;0;10;0
330020905000023;1;3;0;0;2;0;1;1;0;3;0
330020905000024;1;3;0;0;1;0;8;0;0;3;0
330020905000025;1;5;0;0;1;0;0;0;0;1;0
330020905000026;1;3;0;0;0;0;2;0;0;2;0
330020905000027;1;4;0;0;0;0;2;0;0;3;0
330020905000028;1;4;1;0;0;0;3;1;0;3;0
330020905000029;1;9;0;0;3;0;14;0;0;1;0
330020905000030;1;11;1;0;4;0;3;0;0;4;0
330020905000031;1;4;5;0;8;0;11;3;0;6;0
330020905000032;1;12;0;0;2;0;6;0;1;2;0
330020905000033;1;11;1;0;0;0;3;0;0;2;0
330020905000034;1;4;0;0;0;0;8;1;0;3;0
330020905000035;1;13;0;0;3;0;7;1;0;6;0
330020905000036;1;8;0;0;5;0;15;1;0;7;0
330020905000037;1;14;0;0;4;0;8;1;0;1;0
330020905000038;1;11;2;0;18;0;3;2;0;10;0
330020905000039;1;4;3;1;11;0;7;4;1;7;0
330020905000040;1;13;3;0;16;0;8;0;1;11;0
330020905000041;1;14;5;0;10;0;14;1;0;7;0
330020905000042;1;17;1;1;2;0;9;0;1;3;0
330020905000043;1;10;2;0;8;0;11;1;0;10;0
330020905000044;1;5;0;0;5;0;3;3;0;3;0
330020905000045;1;6;0;0;4;0;4;0;0;2;0
330020905000046;1;13;2;0;4;0;9;1;0;2;0
330020905000047;1;7;1;0;5;0;7;0;0;1;0
330020905000048;1;5;2;0;3;0;5;2;0;6;0
330020905000049;1;8;0;0;4;0;11;0;0;5;0
330020905000050;1;7;0;0;3;0;10;1;0;5;0
330020905000051;1;18;0;0;12;0;9;1;0;5;0
330020905000052;1;5;1;0;13;0;11;0;0;6;0
330020905000053;1;16;1;0;9;0;13;3;0;7;0
330020905000054;1;12;2;0;20;0;10;1;0;16;0
330020905000055;1;14;0;0;19;0;12;2;0;16;0
330020905000056;1;11;3;0;12;0;5;4;1;13;0
330020905000057;1;9;3;1;13;0;8;3;0;7;0
330020905000058;1;14;1;0;13;0;15;2;0;13;0
330020905000059;1;2;0;0;4;0;7;0;0;0;0
330020905000060;1;9;2;0;5;0;11;0;0;11;0
330020905000061;1;6;5;0;15;0;6;3;0;18;0
330020905000062;1;9;5;1;12;0;10;4;0;10;0
330020905000063;1;10;1;0;8;0;8;0;0;13;0
330020905000064;1;17;2;0;11;0;18;1;0;10;0
330020905000065;1;13;1;0;10;0;8;0;0;9;0
330020905000066;1;17;1;0;10;0;11;3;0;8;0
