Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;
330455705150219;1;0;527412;527412;0;0;1;8;26;43;34;27;13;5;9;
330455705150220;1;0;376652;376652;0;0;1;13;60;51;24;20;4;1;10;
330455705150221;1;0;621883;621883;0;0;1;8;29;72;48;35;6;5;4;
330455705150222;1;0;357475;357475;0;0;0;2;36;68;29;20;4;0;0;
330455705150223;1;0;428307;428307;0;0;0;1;31;54;33;22;10;1;1;
330455705150224;1;1;228305;224305;4000;2;6;32;81;42;6;4;1;0;7;
330455705150225;1;0;411666;411666;0;3;9;49;130;92;8;1;0;0;20;
330455705150226;1;1;318661;317911;750;1;5;19;51;74;22;18;1;0;3;
330455705150227;1;0;484633;484633;0;0;2;2;15;35;22;23;19;2;2;
330455705150228;1;1;700898;699898;1000;0;0;4;38;71;41;38;15;4;1;
330455705150229;1;0;292299;292299;0;0;0;6;35;37;25;12;4;0;0;
330455705150230;1;0;575650;575650;0;1;1;8;22;45;36;33;16;1;2;
330455705150231;1;0;464225;464225;0;0;0;16;39;59;22;16;7;4;3;
330455705150232;1;0;393094;393094;0;0;3;11;24;29;21;18;12;1;31;
330455705150233;1;0;59109;59109;0;2;4;16;19;15;0;0;0;0;8;
330455705150234;1;0;248963;248963;0;3;7;31;71;51;13;5;1;0;13;
330455705150235;1;0;20290;20290;0;1;1;8;5;2;0;2;0;0;2;
330455705150236;1;0;65350;65350;0;1;6;11;30;8;1;0;1;0;1;
330455705150237;1;0;106100;106100;0;0;5;26;55;9;0;0;0;0;2;
330455705150238;1;0;141663;141663;0;2;6;30;30;49;5;0;1;0;14;
330455705150239;1;0;343127;343127;0;0;5;34;115;77;6;7;0;0;21;
330455705150242;1;0;144567;144567;0;0;2;29;41;23;8;2;1;0;0;
330455705150243;1;0;206977;206977;0;0;5;23;44;39;10;5;1;0;2;
330455705160001;1;0;713679;713679;0;1;0;8;38;69;41;38;14;4;4;
330455705160002;1;0;627886;627886;0;1;2;15;40;75;29;34;17;2;1;
330455705160003;1;0;442374;442374;0;1;0;3;18;64;34;16;6;1;0;
330455705160004;1;0;464502;464502;0;0;0;8;15;53;23;24;10;2;4;
330455705160005;1;0;444111;444111;0;0;1;8;25;55;21;18;12;2;3;
330455705160006;1;0;382995;382995;0;0;2;6;39;48;21;24;7;3;4;
330455705160007;1;0;595900;595900;0;0;0;10;47;51;41;34;14;4;3;
330455705160008;1;0;684478;684478;0;0;2;6;19;45;43;42;34;3;2;
330455705160009;1;0;784129;784129;0;1;1;9;51;76;38;44;24;2;6;
330455705160010;1;0;628181;628181;0;1;0;12;51;61;36;27;7;2;3;
330455705160011;1;0;563026;563026;0;0;0;4;24;58;45;33;16;2;1;
330455705160012;1;0;640920;640920;0;1;1;5;34;58;49;36;11;2;1;
330455705160013;1;0;464902;464902;0;0;1;8;37;59;29;15;8;1;1;
330455705160014;1;0;746275;746275;0;0;1;6;58;109;65;24;17;0;1;
330455705160015;1;0;505123;505123;0;0;2;7;31;44;36;27;15;2;4;
330455705160016;1;0;855304;855304;0;0;0;15;37;96;41;30;20;2;4;
330455705160017;1;0;330406;330406;0;2;3;10;39;39;22;17;6;1;1;
330455705160018;1;0;330057;330057;0;0;5;10;41;39;25;11;7;1;33;
330455705160019;1;0;409143;409143;0;0;3;5;24;40;26;20;13;2;7;
330455705160020;1;0;312783;312783;0;0;3;14;37;47;15;14;7;0;0;
330455705160021;1;0;453504;453504;0;0;1;10;57;68;23;17;13;1;3;
330455705160022;1;0;428439;428439;0;1;1;7;22;35;24;25;9;7;4;
330455705160023;1;0;299385;299385;0;0;0;12;20;44;20;11;7;0;4;
330455705160024;1;0;299476;299476;0;0;5;7;34;38;21;11;4;1;2;
